MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,MMSI_COUNTRY_CD,RECEIVER
18,235088685,AC-RELIANCE,None,2EWE5,37.502357,-122.480912,2019-01-01 00:00:00.000,0.0,63.4,None,None,None,37,None,4,5,1,2,GB,D11MN-SF-EAGBS1
3,303865000,CG ASPEN,9259147,NTUG,37.808598,-122.360939,2019-01-01 00:00:00.000,0.0,268.0,178,5,0,55,4.0,21,47,9,5,US,VTS11-SF-WGE1
18,338109287,GRACE,None, ,37.780850,-122.387199,2019-01-01 00:00:00.000,.1,4.0,None,None,None,36,None,11,3,2,2,US,None
18,338141808,FISHING LUHRS,None, ,37.501546,-122.481215,2019-01-01 00:00:00.000,0.0,140.0,None,None,None,37,None,7,5,3,1,US,None
18,338166398,LADY FISH,None, ,37.778580,-122.386962,2019-01-01 00:00:00.000,0.0,223.8,None,None,None,37,None,4,5,2,2,US,VTS11-SF-PSP
18,338167545,STARFIRE,None, ,37.502283,-122.484907,2019-01-01 00:00:00.000,0.0,210.1,None,None,None,36,None,6,6,2,2,US,D11MN-SF-EAGBS1
18,338171267,QUE SERA SERA,None, ,37.501578,-122.481519,2019-01-01 00:00:00.000,0.0,216.4,None,None,None,30,None,6,6,2,2,US,None
18,338181459,F/V NATALIE NICOLE,None, ,37.808936,-122.417765,2019-01-01 00:00:00.000,0.0,None,71,None,None,30,None,2,11,4,1,US,D11MN-SF-PREBS1
18,338186589,COASTAL MOON,None, ,37.780426,-122.386802,2019-01-01 00:00:00.000,.1,181.7,None,None,None,36,None,13,0,4,0,US,D11MN-SF-EAGBS1
18,338186925,TYEE,None,WDI2971,37.502346,-122.480287,2019-01-01 00:00:00.000,0.0,67.6,None,None,None,30,None,3,6,1,2,US,D11MN-SF-EAGBS1
18,338189924,DARK SIDE,None, ,37.806671,-122.446114,2019-01-01 00:00:00.000,0.0,126.8,None,None,None,37,None,7,12,3,2,US,D11MN-SF-PTSBS1
18,338253266,ESKENAS,None, ,37.807356,-122.441240,2019-01-01 00:00:00.000,0.0,167.5,None,None,None,36,None,8,5,0,3,US,D11MN-SF-PREBS1
18,338303904,PACIFIC SNAPPER,None, ,37.501501,-122.484584,2019-01-01 00:00:00.000,0.0,182.7,None,None,None,37,None,3,7,2,2,US,None
3,338309000,YACHT LADY,0,WDA2527,37.672088,-122.380310,2019-01-01 00:00:00.000,0.0,None,None,5,15,37,3.0,0,0,0,0,US,None
18,338311146,CHALUTIER,None, ,37.807111,-122.440485,2019-01-01 00:00:00.000,0.0,3.7,None,None,None,37,None,9,4,2,2,US,VTS11-SF-MTT1
18,338311357,FREEDOM 2,None, ,37.806103,-122.446914,2019-01-01 00:00:00.000,0.0,None,None,None,None,36,None,14,0,2,0,US,D11MN-SF-PTSBS1
18,338326777,GEMMA DEL MAR,None, ,37.780465,-122.385989,2019-01-01 00:00:00.000,.1,None,None,None,None,36,None,13,0,0,2,US,None
18,366925550,STACY JOANNE,None,WDB6500,37.502198,-122.482417,2019-01-01 00:00:00.000,0.0,0.0,None,None,None,30,None,6,7,3,3,US,D11MN-SF-EAGBS1
3,366961920,CALIFORNIA HORNBLOWE,0,WDB8632,37.798306,-122.393909,2019-01-01 00:00:00.000,0.0,208.3,None,5,15,0,0.0,15,39,3,7,US,D11MN-SF-EAGBS1
1,366969970,SONOMA,0,WZC8517,37.796191,-122.392422,2019-01-01 00:00:00.000,1.6,156.2,234,0,15,60,0.0,28,28,5,5,US,VTS11-SF-BPT
1,366975750,HARBOR PRINCESS,0,WCX8036,37.809278,-122.415351,2019-01-01 00:00:00.000,.1,146.6,None,0,15,60,2.8,4,21,4,3,US,D11MN-SF-BUSBS1
1,366985290,ROYAL STAR,0,WCY6432,37.809500,-122.412114,2019-01-01 00:00:00.000,0.0,292.8,None,0,1,60,2.4,10,20,5,5,US,VTS11-SF-WGE1
1,366985340,ENCINAL,0,WCY6429,37.794589,-122.388071,2019-01-01 00:00:00.000,8.7,111.4,None,0,1,60,2.4,15,13,8,2,US,VTS11-SF-PSP
1,366989380,MARE ISLAND,9144665,WDC2198,37.800314,-122.393110,2019-01-01 00:00:00.000,11.4,187.8,195,0,1,60,3.0,12,30,5,5,US,VTS11-SF-WGE1
1,366990520,DEL NORTE,0,WDC2280,37.797157,-122.388828,2019-01-01 00:00:00.000,1.5,225.9,323,0,1,40,0.0,16,32,12,12,US,D13MN-PS-GOLBS1
3,367165570,SAM,9173496,WDD5908,37.802786,-122.397631,2019-01-01 00:00:00.000,0.0,43.0,55,5,1,52,4.9,19,14,6,6,US,VTS08-PA-TXP2
1,367338290,ALCATRAZ FLYER,0,WDE3382,37.807026,-122.404300,2019-01-01 00:00:00.000,.4,192.4,None,0,15,60,1.5,10,30,5,5,US,D11MN-SF-PREBS1
1,367380880,GEMINI,9550747,WDE6488,37.795089,-122.391801,2019-01-01 00:00:00.000,0.0,188.4,None,0,1,60,2.0,20,25,1,9,US,VTS11-SF-WGE1
1,367425230,CALIFORNIA SPIRIT,0,WDF2131,37.781413,-122.386508,2019-01-01 00:00:00.000,0.0,191.4,None,0,15,6,1.9,0,0,0,0,US,VTS11-SF-MTT1
3,367431840,AD ASTRA,0,WDF2783,37.502348,-122.480525,2019-01-01 00:00:00.000,0.0,None,174,5,3,36,1.2,3,5,1,1,US,None
3,367436230,TAURUS,0,WDF3127,37.663648,-122.377377,2019-01-01 00:00:00.000,0.0,67.1,179,5,0,60,0.0,18,17,4,4,US,VTS11-SF-MTT1
18,367474730,LA DOLCE VITA,None,WDF6483,37.781175,-122.386734,2019-01-01 00:00:00.000,0.0,.8,None,None,None,36,None,115,1,2,12,US,VTS11-SF-PSP
18,367521620,MAGRATHEA,None,WDG3019,37.673118,-122.380640,2019-01-01 00:00:00.000,0.0,68.1,None,None,None,36,None,11,0,2,1,US,None
18,367556560,HYPERFISH,None,WDG6398,37.808878,-122.417778,2019-01-01 00:00:00.000,0.0,164.9,None,None,None,30,None,3,9,2,2,US,D11MN-SF-PREBS1
1,367654260,FALCON,0,WDH8060,37.774656,-122.385597,2019-01-01 00:00:00.000,.1,189.6,None,0,15,99,0.2,6,10,1,4,US,D11MN-SF-PREBS1
18,367725380,EVENTIDE,None,WDI7105,37.807590,-122.442200,2019-01-01 00:00:00.000,0.0,275.8,260,None,None,37,None,5,11,2,3,US,VTS11-SF-MTT1
3,367733650,FIREBOAT 3,0,WDI7931,37.790464,-122.388236,2019-01-01 00:00:00.000,.1,231.3,246,5,1,51,3.0,0,0,0,0,US,D11MN-SF-EAGBS1
18,367770220,INCOGNITO,None,WDJ3670,37.672821,-122.379763,2019-01-01 00:00:00.000,0.0,155.1,None,None,None,36,None,15,0,0,4,US,D11MN-SF-EAGBS1
18,367771580,DIAMOND SEAS,None,WDJ3805,37.806838,-122.445112,2019-01-01 00:00:00.000,0.0,261.0,None,None,None,37,None,15,13,4,3,US,None
3,367833000,CAPELLA,7223508,NBXO,37.748420,-122.379682,2019-01-01 00:00:00.000,0.0,274.3,None,5,1,70,7.5,45,243,11,21,US,D11MN-SF-PREBS1
18,368557000,BASS TUB,None,WDF3974,37.809053,-122.443297,2019-01-01 00:00:00.000,8.0,264.8,None,None,None,30,None,4,13,3,2,US,D11MN-SF-PREBS1
3,368992000,ALGOL,7303205,NAMW,37.748023,-122.383134,2019-01-01 00:00:00.000,0.0,0.0,265,5,1,70,9.0,45,243,11,21,US,None
18,235088685,AC-RELIANCE,None,2EWE5,37.502353,-122.480916,2019-01-01 00:05:00.000,0.0,76.2,None,None,None,37,None,4,5,1,2,GB,D11MN-SF-EAGBS1
3,303865000,CG ASPEN,9259147,NTUG,37.808606,-122.360934,2019-01-01 00:05:00.000,.1,359.0,179,5,0,55,4.0,21,47,9,5,US,VTS11-SF-WGE1
18,338109287,GRACE,None, ,37.780863,-122.387174,2019-01-01 00:05:00.000,0.0,132.1,None,None,None,36,None,11,3,2,2,US,None
18,338141808,FISHING LUHRS,None, ,37.501542,-122.481219,2019-01-01 00:05:00.000,0.0,159.9,None,None,None,37,None,7,5,3,1,US,None
18,338167545,STARFIRE,None, ,37.502285,-122.484895,2019-01-01 00:05:00.000,.1,210.1,None,None,None,36,None,6,6,2,2,US,D11MN-SF-EAGBS1
18,338171267,QUE SERA SERA,None, ,37.501578,-122.481512,2019-01-01 00:05:00.000,.1,216.4,None,None,None,30,None,6,6,2,2,US,None
18,338181459,F/V NATALIE NICOLE,None, ,37.808933,-122.417768,2019-01-01 00:05:00.000,0.0,None,89,None,None,30,None,2,11,4,1,US,D11MN-SF-PREBS1
18,338186589,COASTAL MOON,None, ,37.780440,-122.386783,2019-01-01 00:05:00.000,.1,129.4,None,None,None,36,None,13,0,4,0,US,D11MN-SF-EAGBS1
18,338186925,TYEE,None,WDI2971,37.502348,-122.480289,2019-01-01 00:05:00.000,0.0,67.6,None,None,None,30,None,3,6,1,2,US,D11MN-SF-EAGBS1
18,338189924,DARK SIDE,None, ,37.806713,-122.446098,2019-01-01 00:05:00.000,0.0,126.8,None,None,None,37,None,7,12,3,2,US,D11MN-SF-PTSBS1
18,338253266,ESKENAS,None, ,37.807340,-122.441240,2019-01-01 00:05:00.000,.1,167.5,None,None,None,36,None,8,5,0,3,US,D11MN-SF-PREBS1
18,338303904,PACIFIC SNAPPER,None, ,37.501503,-122.484587,2019-01-01 00:05:00.000,0.0,182.7,None,None,None,37,None,3,7,2,2,US,None
3,338309000,YACHT LADY,0,WDA2527,37.672084,-122.380301,2019-01-01 00:05:00.000,0.0,None,None,5,15,37,3.0,0,0,0,0,US,None
18,338311146,CHALUTIER,None, ,37.807111,-122.440490,2019-01-01 00:05:00.000,.1,263.2,None,None,None,37,None,9,4,2,2,US,VTS11-SF-MTT1
18,338311357,FREEDOM 2,None, ,37.806121,-122.446910,2019-01-01 00:05:00.000,0.0,None,None,None,None,36,None,14,0,2,0,US,D11MN-SF-PTSBS1
18,338326777,GEMMA DEL MAR,None, ,37.780451,-122.386004,2019-01-01 00:05:00.000,0.0,None,None,None,None,36,None,13,0,0,2,US,None
3,366961920,CALIFORNIA HORNBLOWE,0,WDB8632,37.798288,-122.393899,2019-01-01 00:05:00.000,.1,197.5,None,5,15,0,0.0,15,39,3,7,US,D11MN-SF-EAGBS1
1,366969970,SONOMA,0,WZC8517,37.806854,-122.391514,2019-01-01 00:05:00.000,16.1,243.1,242,0,15,60,0.0,28,28,5,5,US,VTS11-SF-BPT
